# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
7.406400000000000000e+19 1.426880031908778820e-26 2.002006126967802954e-11 2.095018294988589339e-13 1.450047345108910167e-02 2.245304212224687035e+01 5.172212944428072311e+06 8.335839927667599582e-06
1.481280000000000000e+20 1.426879995091188273e-26 2.002006075310312308e-11 8.379687045458125260e-13 1.450047307693536763e-02 2.245304250848206706e+01 4.137655958745461702e+07 8.335839927667599582e-06
2.221920000000000000e+20 1.426879895163967252e-26 2.002005935105877124e-11 1.885284799914552570e-12 1.450047206143863059e-02 2.245304355676936581e+01 1.396394542685518861e+08 8.335839927667599582e-06
2.962560000000000000e+20 1.426879700578449908e-26 2.002005662089653337e-11 3.351257123959606270e-12 1.450047008398988417e-02 2.245304559807063072e+01 3.309758748460721970e+08 8.335839927667599582e-06
3.703200000000000000e+20 1.426879379811690649e-26 2.002005212032884254e-11 5.235615594178339346e-12 1.450046682424150322e-02 2.245304896307844444e+01 6.463836500584813356e+08 8.335839927667599582e-06
4.443840000000000000e+20 1.426878901368627145e-26 2.002004540745933975e-11 7.538013142926651666e-12 1.450046196212921232e-02 2.245305398219390725e+01 1.116837753599544287e+09 8.335839927667599582e-06
5.184480000000000000e+20 1.426878233782079186e-26 2.002003604078289337e-11 1.025802585321741723e-11 1.450045517787209269e-02 2.245306098552714147e+01 1.773284607105040073e+09 8.335839927667599582e-06
5.925120000000000000e+20 1.426877345612749826e-26 2.002002357918556358e-11 1.339515312451042673e-11 1.450044615197258226e-02 2.245307030289797368e+01 2.646636394403485298e+09 8.335839927667599582e-06
6.665760000000000000e+20 1.426876205460023232e-26 2.002000758209615735e-11 1.694881786838265573e-11 1.450043456532621247e-02 2.245308226372345928e+01 3.767765389017166138e+09 8.335839927667599582e-06
7.406400000000000000e+20 1.426874781976064584e-26 2.001998760968401833e-11 2.091836673394770678e-11 1.450042009936489129e-02 2.245309719687083572e+01 5.167498297348503113e+09 8.335839927667599582e-06
8.147040000000000000e+20 1.426873043858834844e-26 2.001996322276104472e-11 2.530307036287327873e-11 1.450040243598592522e-02 2.245311543073185945e+01 6.876610619683021545e+09 8.335839927667599582e-06
8.887680000000000000e+20 1.426870959872573225e-26 2.001993398306905375e-11 3.010212367382619545e-11 1.450038125776015666e-02 2.245313729300906758e+01 8.925821031101968765e+09 8.335839927667599582e-06
9.628320000000000000e+20 1.426868498848243742e-26 2.001989945328605660e-11 3.531464617615465668e-11 1.450035624793651751e-02 2.245316311071233883e+01 1.134578578442529488e+10 8.335839927667599582e-06
1.036896000000000000e+21 1.426865629683536070e-26 2.001985919702627461e-11 4.093968231259837796e-11 1.450032709044202575e-02 2.245319321016026848e+01 1.416709313793641472e+10 8.335839927667599582e-06
