# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
7.406400000000000000e+19 1.451933137820534686e-26 2.037157275216623878e-11 2.095018294988589339e-13 1.475507221834129051e-02 2.219400875987138022e+01 5.172212944426888600e+06 2.148504918418746091e-06
1.481280000000000000e+20 1.451933100356502315e-26 2.037157222652133567e-11 8.379687045458125260e-13 1.475507183761817949e-02 2.219400914165070660e+01 4.137655958744703978e+07 2.148504918418746091e-06
2.221920000000000000e+20 1.451932998674762992e-26 2.037157079985994017e-11 1.885284799914552570e-12 1.475507080429138904e-02 2.219401017784426244e+01 1.396394542685956061e+08 2.148504918418746091e-06
2.962560000000000000e+20 1.451932800672720392e-26 2.037156802176161645e-11 3.351257123959606270e-12 1.475506879212267267e-02 2.219401219559570393e+01 3.309758748459684849e+08 2.148504918418746091e-06
3.703200000000000000e+20 1.451932474273950450e-26 2.037156344217312905e-11 5.235615594178339346e-12 1.475506547513975170e-02 2.219401552178253212e+01 6.463836500582745075e+08 2.148504918418746091e-06
4.443840000000000000e+20 1.451931987430401674e-26 2.037155661143931671e-11 7.538013142926651666e-12 1.475506052765867583e-02 2.219402048299410879e+01 1.116837753599395514e+09 2.148504918418746091e-06
5.184480000000000000e+20 1.451931308122394290e-26 2.037154708030311821e-11 1.025802585321741723e-11 1.475505362428382664e-02 2.219402740553218933e+01 1.773284607104696035e+09 2.148504918418746091e-06
5.925120000000000000e+20 1.451930404358621098e-26 2.037153439990553041e-11 1.339515312451042673e-11 1.475504443990791059e-02 2.219403661541158002e+01 2.646636394404266357e+09 2.148504918418746091e-06
6.665760000000000000e+20 1.451929244187135595e-26 2.037151812193982891e-11 1.694881786838265573e-11 1.475503264982363887e-02 2.219404843824895224e+01 3.767765389018464565e+09 2.148504918418746091e-06
7.406400000000000000e+20 1.451927795709699257e-26 2.037149779885282825e-11 2.091836673394770678e-11 1.475501792986951520e-02 2.219406319911751879e+01 5.167498297349716187e+09 2.148504918418746091e-06
