# z rho(z) P(z) g(z) n(z) K(z) phi(z)
7.406400000000000000e+19 1.451933137820533825e-26 2.037157275216623232e-11 2.095018294988589339e-13 1.475507221834128357e-02 1.662286101312530637e+08 5.172212944428072311e+06
1.481280000000000000e+20 1.451933100356501741e-26 2.037157222652132598e-11 8.379687045458125260e-13 1.475507183761817255e-02 1.662286129907025099e+08 4.137655958745461702e+07
2.221920000000000000e+20 1.451932998674762131e-26 2.037157079985993047e-11 1.885284799914552570e-12 1.475507080429138036e-02 1.662286207515814602e+08 1.396394542685518861e+08
2.962560000000000000e+20 1.451932800672719531e-26 2.037156802176160999e-11 3.351257123959606270e-12 1.475506879212266573e-02 1.662286358641292155e+08 3.309758748460721970e+08
3.703200000000000000e+20 1.451932474273949876e-26 2.037156344217311936e-11 5.235615594178339346e-12 1.475506547513974476e-02 1.662286607765918374e+08 6.463836500584813356e+08
4.443840000000000000e+20 1.451931987430400813e-26 2.037155661143930702e-11 7.538013142926651666e-12 1.475506052765866889e-02 1.662286979350571632e+08 1.116837753599544287e+09
5.184480000000000000e+20 1.451931308122393429e-26 2.037154708030310206e-11 1.025802585321741723e-11 1.475505362428381796e-02 1.662287497834589779e+08 1.773284607105040073e+09
5.925120000000000000e+20 1.451930404358620237e-26 2.037153439990551749e-11 1.339515312451042673e-11 1.475504443990790365e-02 1.662288187635818124e+08 2.646636394403485298e+09
6.665760000000000000e+20 1.451929244187134734e-26 2.037151812193981599e-11 1.694881786838265573e-11 1.475503264982363019e-02 1.662289073142283559e+08 3.767765389017166138e+09
7.406400000000000000e+20 1.451927795709698396e-26 2.037149779885281856e-11 2.091836673394770678e-11 1.475501792986950653e-02 1.662290178701307476e+08 5.167498297348503113e+09
8.147040000000000000e+20 1.451926027074672039e-26 2.037147298374517107e-11 2.530307036287327873e-11 1.475499995635759856e-02 1.662291528625009954e+08 6.876610619683021545e+09
8.887680000000000000e+20 1.451923906497858170e-26 2.037144323066376879e-11 3.010212367382619545e-11 1.475497840628533890e-02 1.662293147174485326e+08 8.925821031101966858e+09
9.628320000000000000e+20 1.451921402262955863e-26 2.037140809460813470e-11 3.531464617615465668e-11 1.475495295734015506e-02 1.662295058559547663e+08 1.134578578442529488e+10
1.036896000000000000e+21 1.451918482721561906e-26 2.037136713153046151e-11 4.093968231259837796e-11 1.475492328789947127e-02 1.662297286938832700e+08 1.416709313793641472e+10
1.110960000000000000e+21 1.451915116293314578e-26 2.037131989833757298e-11 4.697620183079790556e-11 1.475488907703216904e-02 1.662299856419797242e+08 1.742025780889846802e+10
