# z rho(z) P(z) g(z) n(z) K(z)
3.383731713297867735e+20 6.888629591835707710e-29 9.473138463918309413e-15 4.885739669108454347e-11 6.861321532137798485e-05 5.966616878489533663e+08
3.710188045229327647e+20 6.888545842437269533e-29 9.473023293021530983e-15 5.357020177524909758e-11 6.861238114740602191e-05 5.966665238919845819e+08
4.068140295185088512e+20 6.888445156630693978e-29 9.472884831434310972e-15 5.873741344793498258e-11 6.861137828074954969e-05 5.966723380442835093e+08
4.460627132521941565e+20 6.888324110193476586e-29 9.472718370218037333e-15 6.440278410884672886e-11 6.861017261492735196e-05 5.966793281188910007e+08
4.890980391934996644e+20 6.888178586931686041e-29 9.472518248845521652e-15 7.061425933840628226e-11 6.860872315117517647e-05 5.966877319289103746e+08
5.362853357520562422e+20 6.888003638996786670e-29 9.472277663110844375e-15 7.742437355296879205e-11 6.860698060715140145e-05 5.966978353734941483e+08
5.880251775634605343e+20 6.887793319072952509e-29 9.471988434355887773e-15 8.489068100521664290e-11 6.860488574546258044e-05 5.967099821573092937e+08
6.447567859815580959e+20 6.887540478800007436e-29 9.471640732264646981e-15 9.307622464244948897e-11 6.860236736588385255e-05 5.967245854729781151e+08
7.069617576441350717e+20 6.887236526681869401e-29 9.471222741942606663e-15 1.020500452937375669e-10 6.859933989404041522e-05 5.967421420422371626e+08
7.751681527638551429e+20 6.886871137400216073e-29 9.470720264169313833e-15 1.118877335214522065e-10 6.859570048606760491e-05 5.967632489910221100e+08
8.499549778501620204e+20 6.886431902869552479e-29 9.470116235534642621e-15 1.226720262065197743e-10 6.859132555299460429e-05 5.967886241289672852e+08
9.319571009160646492e+20 6.885903913488811928e-29 9.469390152582357278e-15 1.344934494904605234e-10 6.858606658986046722e-05 5.968191303179775476e+08
1.021870640895277007e+21 6.885269255815522268e-29 9.468517381019290288e-15 1.474510090056170988e-10 6.857974517236918523e-05 5.968558047512515783e+08
1.120458877020531327e+21 6.884506410256123836e-29 9.467468327428235643e-15 1.616529273016493452e-10 6.857214695766971366e-05 5.968998941276992559e+08
1.228558728328098611e+21 6.883589529269229853e-29 9.466207446664075369e-15 1.772174269081552713e-10 6.856301449500219085e-05 5.969528969021788836e+08
1.347087858293156348e+21 6.882487572954145854e-29 9.464692053128276039e-15 1.942735554115863405e-10 6.855203861585037561e-05 5.970166140252864361e+08
1.477052464907663442e+21 6.881163274682051749e-29 9.462870898320656053e-15 2.129620460759472897e-10 6.853884813125810907e-05 5.970932098644130230e+08
1.619555822330796835e+21 6.879571904565759029e-29 9.460682470381832425e-15 2.334362036494562917e-10 6.852299751554571515e-05 5.971852853282953501e+08
1.775807646622475354e+21 6.877659793017064701e-29 9.458052963711781648e-15 2.558627997486600818e-10 6.850395220041300510e-05 5.972959656091829538e+08
1.947134365065882894e+21 6.875362570402189908e-29 9.454893858170826593e-15 2.804229551799909656e-10 6.848107104127760755e-05 5.974290054198107719e+08
2.134990376255840846e+21 6.872603062984982399e-29 9.451099025612781097e-15 3.073129772146627290e-10 6.845358536011655589e-05 5.975889156654171944e+08
2.340970396540059779e+21 6.869287992243469864e-29 9.446540190835359354e-15 3.367451075038497730e-10 6.842056606947816936e-05 5.977811617153766155e+08
2.566822997622857400e+21 6.865306133985698467e-29 9.441064400024329671e-15 3.689481201681028010e-10 6.838090533661724413e-05 5.980122803064833879e+08
2.814465450252347900e+21 6.860525167975295817e-29 9.434489688406578331e-15 4.041676885843869421e-10 6.833328520463849540e-05 5.982900767672834396e+08
3.086000000000005243e+21 6.854787084464959517e-29 9.426598763384950874e-15 4.426664122791132839e-10 6.827613183992667953e-05 5.986239125328134298e+08
3.383731713297868128e+21 6.847903414383614446e-29 9.417132445164298032e-15 4.847233606503080284e-10 6.820756802310418544e-05 5.990250123731845617e+08
3.710188045229327647e+21 6.839649664834334681e-29 9.405782014533003022e-15 5.306329463309766653e-10 6.812535772459944305e-05 5.995068312574920654e+08
4.068140295185088119e+21 6.829758868315192652e-29 9.392180341849754421e-15 5.807028861074492565e-10 6.802684185257865774e-05 6.000854919799199104e+08
4.460627132521941303e+21 6.817914164219383812e-29 9.375891685235568738e-15 6.352509397400322328e-10 6.790886436203294506e-05 6.007803064972321987e+08
4.890980391934997037e+21 6.803740355455831746e-29 9.356400079367057776e-15 6.946000355427334772e-10 6.776768815569863397e-05 6.016143958736811876e+08
5.362853357520562422e+21 6.786794429484581021e-29 9.333096300148729482e-15 7.590712959284296135e-10 6.759890067017849285e-05 6.026154256642177105e+08
5.880251775634606391e+21 6.766555113566996160e-29 9.305263501252199368e-15 8.289743680708585878e-10 6.739730984249682553e-05 6.038164752094781399e+08
6.447567859815580434e+21 6.742411666082148173e-29 9.272061800105228432e-15 9.045943496221725549e-10 6.715683246760043349e-05 6.052570601260843277e+08
7.069617576441350717e+21 6.713652314993141366e-29 9.232512378646787392e-15 9.861744880186789511e-10 6.687037904134685473e-05 6.069843262456991673e+08
7.751681527638552216e+21 6.679453078397704566e-29 9.185482109518533668e-15 1.073893744106132226e-09 6.652974240918847347e-05 6.090544285398036242e+08
8.499549778501619941e+21 6.638868195088173524e-29 9.129670396316706504e-15 1.167838279350376354e-09 6.612550245112624558e-05 6.115340968122888803e+08
9.319571009160645444e+21 6.590824134412320197e-29 9.063600936043991762e-15 1.267966001309643510e-09 6.564696641778043813e-05 6.145023650862298012e+08
1.021870640895276928e+22 6.534120259421492789e-29 8.985622631060737655e-15 1.374063557578151906e-09 6.508217553558329985e-05 6.180523926970906258e+08
1.120458877020531379e+22 6.467440851869941455e-29 8.893926125680838682e-15 1.485695703087643152e-09 6.441802478007471278e-05 6.222932123052266836e+08
1.228558728328098559e+22 6.389383950747547796e-29 8.786583464482567448e-15 1.602147901966545854e-09 6.364055011800581643e-05 6.273511762430056334e+08
1.347087858293156295e+22 6.298429480874654427e-29 8.661504263237751843e-15 1.722364495446977696e-09 6.273461105674071523e-05 6.333763750411746502e+08
1.477052464907663547e+22 6.193066188479932417e-29 8.516610268784563456e-15 1.844886880316575445e-09 6.168515496802657347e-05 6.405399574257340431e+08
1.619555822330796678e+22 6.071857402431026016e-29 8.349925792869993856e-15 1.967798920136640223e-09 6.047787209337861551e-05 6.490363170212725401e+08
1.775807646622475616e+22 5.933485093564531453e-29 8.159638301869179594e-15 2.088690089605864919e-09 5.909963439077004990e-05 6.590881001732480526e+08
1.947134365065882999e+22 5.776862058916196550e-29 7.944252690829616586e-15 2.204650150351872581e-09 5.753961292970175012e-05 6.709477630657202005e+08
2.134990376255840951e+22 5.601274698095366043e-29 7.702787627366037132e-15 2.312311550019114829e-09 5.579069999497366684e-05 6.848973087676336765e+08
2.340970396540059884e+22 5.406555963646592322e-29 7.435013390362735082e-15 2.407955812735474058e-09 5.385123173416395218e-05 7.012446686216934919e+08
2.566822997622856981e+22 5.193281804336368683e-29 7.141722015788603783e-15 2.487696208251111339e-09 5.172694480304755772e-05 7.203144293370201588e+08
2.814465450252347795e+22 4.962945337162110261e-29 6.824966815390311738e-15 2.547739393583553317e-09 4.943271118112024397e-05 7.424326222882907391e+08
3.086000000000005138e+22 4.717612448145564685e-29 6.487588764150440586e-15 2.584713054150320822e-09 4.698910783228315554e-05 7.679539887778968811e+08
3.383731713297868653e+22 4.460022085805819428e-29 6.133354422343563906e-15 2.596026580953580680e-09 4.442341566371659954e-05 7.972454232099084854e+08
3.710188045229327647e+22 4.193846286870673303e-29 5.767313518932937426e-15 2.580212216800259102e-09 4.177220947499624701e-05 8.306314459162186384e+08
4.068140295185088328e+22 3.923403862166553131e-29 5.395405216768410709e-15 2.537182098602582960e-09 3.907850616712039169e-05 8.683764374499051571e+08
4.460627132521941408e+22 3.652898184353983900e-29 5.023409929892829427e-15 2.468339633798409221e-09 3.638417283565393353e-05 9.107342358153909445e+08
4.890980391934996827e+22 3.386137456086333475e-29 4.656564640575753318e-15 2.376505552288616357e-09 3.372714054150812975e-05 9.579591392725625038e+08
5.362853357520606672e+22 3.126817704612134938e-29 4.299952069179048638e-15 2.265656682435971949e-09 3.114422303842840283e-05 1.010217760219157338e+09
5.880251775634606601e+22 2.878067233573524390e-29 3.957874211210536829e-15 2.140518390116863695e-09 2.866657934992255149e-05 1.067618483889546990e+09
