# z rho(z) P(z) g(z) n(z) K(z) phi(z)
7.406400000000000000e+19 5.638186129876108071e-25 2.343924257343586661e-09 8.082748700991232221e-11 5.658992249015069032e-01 4.384921827180937678e+07 2.993204935688664913e+09
1.481280000000000000e+20 5.638173951436322539e-25 2.343919194484757613e-09 1.616545084549520479e-10 5.658980025634222644e-01 4.384928141457825154e+07 1.197280250194328690e+10
2.221920000000000000e+20 5.638153654173200491e-25 2.343910756443463026e-09 2.424805987778445835e-10 5.658959653469834983e-01 4.384938665232370049e+07 2.693874097668168640e+10
2.962560000000000000e+20 5.638125238291380801e-25 2.343898943304777187e-09 3.233052924365106950e-10 5.658931132727301749e-01 4.384953398474238813e+07 4.789093415679046631e+10
3.703200000000000000e+20 5.638088704077297461e-25 2.343883755187776465e-09 4.041281239116649243e-10 5.658894463694112975e-01 4.384972341140995175e+07 7.482926136087550354e+10
4.443840000000000000e+20 5.638044051899175915e-25 2.343865192245540974e-09 4.849486277144102836e-10 5.658849646739853023e-01 4.384995493178094178e+07 1.077535674301789246e+11
5.184480000000000000e+20 5.637991282207031216e-25 2.343843254665152085e-09 5.657663383938354181e-10 5.658796682316197257e-01 4.385022854518884420e+07 1.466636627312028503e+11
5.925120000000000000e+20 5.637930395532668028e-25 2.343817942667693668e-09 6.465807905446084342e-10 5.658735570956914263e-01 4.385054425084598362e+07 1.915593231571354370e+11
6.665760000000000000e+20 5.637861392489687056e-25 2.343789256508253749e-09 7.273915188145696937e-10 5.658666313277868065e-01 4.385090204784343392e+07 2.424402901362800903e+11
7.406400000000000000e+20 5.637784273773476778e-25 2.343757196475921198e-09 8.081980579123236259e-10 5.658588909977012582e-01 4.385130193515101820e+07 2.993062706334794922e+11
8.147040000000000000e+20 5.637699040161218958e-25 2.343721762893788628e-09 8.889999426148264553e-10 5.658503361834398282e-01 4.385174391161715239e+07 3.621569371527117310e+11
8.887680000000000000e+20 5.637605692511884971e-25 2.343682956118949908e-09 9.697967077749756868e-10 5.658409669712166634e-01 4.385222797596883029e+07 4.309919277440688477e+11
9.628320000000000000e+20 5.637504231766238557e-25 2.343640776542502649e-09 1.050587888329194112e-09 5.658307834554553439e-01 4.385275412681146711e+07 5.058108460081997070e+11
1.036896000000000000e+21 5.637394658945908285e-25 2.343595224589161497e-09 1.131373019305010298e-09 5.658197857386955132e-01 4.385332236263361573e+07 5.866132611105732422e+11
1.110960000000000000e+21 5.637276975154272847e-25 2.343546300717625811e-09 1.212151635828641145e-09 5.658079739316824730e-01 4.385393268180226535e+07 6.733987077821918945e+11
1.185024000000000000e+21 5.637151181577983687e-25 2.343494005421214942e-09 1.292923273132564212e-09 5.657953481535190621e-01 4.385458508255480230e+07 7.661666863226218262e+11
1.259088000000000000e+21 5.637017279485018093e-25 2.343438339227055939e-09 1.373687466563094891e-09 5.657819085314710339e-01 4.385527956300898641e+07 8.649166626153177490e+11
1.333152000000000000e+21 5.636875270224657153e-25 2.343379302696076105e-09 1.454443751587951185e-09 5.657676552009643922e-01 4.385601612116290629e+07 9.696480681274218750e+11
1.407216000000000000e+21 5.636725155227490349e-25 2.343316896423004652e-09 1.535191663803823239e-09 5.657525883055860572e-01 4.385679475489478558e+07 1.080360299935559204e+12
1.481280000000000000e+21 5.636566936005412801e-25 2.343251121036370220e-09 1.615930738943931905e-09 5.657367079970833101e-01 4.385761546196288615e+07 1.197052720728722656e+12
1.555344000000000000e+21 5.636400614151621595e-25 2.343181977198503770e-09 1.696660512885585868e-09 5.657200144353639049e-01 4.385847824000528455e+07 1.319724658808273193e+12
1.629408000000000000e+21 5.636226191340623126e-25 2.343109465605534861e-09 1.777380521657736699e-09 5.657025077884964004e-01 4.385938308653969318e+07 1.448375408107045166e+12
1.703472000000000000e+21 5.636043669328230347e-25 2.343033586987395378e-09 1.858090301448525223e-09 5.656841882327099391e-01 4.386032999896328896e+07 1.583004228194293457e+12
1.777536000000000000e+21 5.635853049951557259e-25 2.342954342107816631e-09 1.938789388612822304e-09 5.656650559523939137e-01 4.386131897455248237e+07 1.723610344295594482e+12
1.851600000000000000e+21 5.635654335129025334e-25 2.342871731764331010e-09 2.019477319679770047e-09 5.656451111400985221e-01 4.386235001046273857e+07 1.870192947316211670e+12
1.925664000000000000e+21 5.635447526860365360e-25 2.342785756788271989e-09 2.100153631360310377e-09 5.656243539965345457e-01 4.386342310372833163e+07 2.022751193841095703e+12
1.999728000000000000e+21 5.635232627226608249e-25 2.342696418044772881e-09 2.180817860554714663e-09 5.656027847305732381e-01 4.386453825126210600e+07 2.181284206135694092e+12
2.073792000000000000e+21 5.635009638390095145e-25 2.342603716432768495e-09 2.261469544360100924e-09 5.655804035592465473e-01 4.386569544985526055e+07 2.345791072181869141e+12
2.147856000000000000e+21 5.634778562594470076e-25 2.342507652884993893e-09 2.342108220077950422e-09 5.655572107077468935e-01 4.386689469617709517e+07 2.516270845669182129e+12
2.221920000000000000e+21 5.634539402164683625e-25 2.342408228367983978e-09 2.422733425221615152e-09 5.655332064094272804e-01 4.386813598677473515e+07 2.692722546035107422e+12
2.295984000000000000e+21 5.634292159506992014e-25 2.342305443882075976e-09 2.503344697523815408e-09 5.655083909058011837e-01 4.386941931807287782e+07 2.875145158486933594e+12
2.370048000000000000e+21 5.634036837108957101e-25 2.342199300461406538e-09 2.583941574944141070e-09 5.654827644465428849e-01 4.387074468637350202e+07 3.063537634001764160e+12
2.444112000000000000e+21 5.633773437538728232e-25 2.342089799173614373e-09 2.664523595676530142e-09 5.654563272894149728e-01 4.387211208785933256e+07 3.257898889326716309e+12
2.518176000000000000e+21 5.633501963441210859e-25 2.341976941118247922e-09 2.745090298156755982e-09 5.654290796998840962e-01 4.387352151861339062e+07 3.458227807023426758e+12
2.592240000000000000e+21 5.633222417546244491e-25 2.341860727430164657e-09 2.825641221069895496e-09 5.654010219519414182e-01 4.387497297457630187e+07 3.664523235462799805e+12
2.666304000000000000e+21 5.632934802664840199e-25 2.341741159277967298e-09 2.906175903357794034e-09 5.653721543277254735e-01 4.387646645156544447e+07 3.876783988862093750e+12
2.740368000000000000e+21 5.632639121688095114e-25 2.341618237863550514e-09 2.986693884226521597e-09 5.653424771174128116e-01 4.387800194528029859e+07 4.095008847323380859e+12
2.814432000000000000e+21 5.632335377587187839e-25 2.341491964422102583e-09 3.067194703153822833e-09 5.653119906192177746e-01 4.387957945130214095e+07 4.319196556833549805e+12
2.888496000000000000e+21 5.632023573413379366e-25 2.341362340222103733e-09 3.147677899896550501e-09 5.652806951393923862e-01 4.388119896509366482e+07 4.549345829264302734e+12
2.962560000000000000e+21 5.631703712298014912e-25 2.341229366565325731e-09 3.228143014498103066e-09 5.652485909922266849e-01 4.388286048199867457e+07 4.785455342399040039e+12
3.036624000000000000e+21 5.631375797452518414e-25 2.341093044786832296e-09 3.308589587295845331e-09 5.652156785000482797e-01 4.388456399724168330e+07 5.027523739980890625e+12
3.110688000000000000e+21 5.631039832168400784e-25 2.340953376254980752e-09 3.389017158928514191e-09 5.651819579932227944e-01 4.388630950592758507e+07 5.275549631691397461e+12
