# z rho(z) P(z) g(z) n(z) K(z)
3.122031743072969216e+18 5.511235801884476683e-27 7.578967509072111181e-13 4.508234728968001219e-13 5.489388037495245183e-03 3.213542482791532949e+07
3.158484188190287872e+18 5.511235801222014157e-27 7.578967508161102800e-13 4.560872302918445922e-13 5.489388036835409282e-03 3.213542483049049228e+07
3.195362247415489536e+18 5.511235800543981210e-27 7.578967507228681832e-13 4.614124466454359217e-13 5.489388036160064085e-03 3.213542483312617987e+07
3.232670890164654592e+18 5.511235799850011216e-27 7.578967506274345425e-13 4.667998395444491787e-13 5.489388035468845302e-03 3.213542483582382649e+07
3.270415143876211200e+18 5.511235799139728943e-27 7.578967505297575580e-13 4.722501349542205102e-13 5.489388034761378231e-03 3.213542483858488128e+07
3.308600094688291328e+18 5.511235798412751263e-27 7.578967504297847232e-13 4.777640673163584736e-13 5.489388034037282968e-03 3.213542484141083062e+07
3.347230888124128256e+18 5.511235797668685724e-27 7.578967503274619160e-13 4.833423796477134898e-13 5.489388033296166598e-03 3.213542484430320933e+07
3.386312729785430528e+18 5.511235796907131980e-27 7.578967502227342063e-13 4.889858236405044625e-13 5.489388032537631870e-03 3.213542484726357087e+07
3.425850886053876224e+18 5.511235796127676771e-27 7.578967501155447458e-13 4.946951597636115470e-13 5.489388031761266787e-03 3.213542485029351711e+07
3.465850684800661504e+18 5.511235795329902533e-27 7.578967500058359791e-13 5.004711573650372928e-13 5.489388030966655015e-03 3.213542485339467600e+07
3.506317516104612864e+18 5.511235794513376635e-27 7.578967498935487353e-13 5.063145947756021944e-13 5.489388030153366342e-03 3.213542485656872019e+07
3.547256832978402816e+18 5.511235793677659271e-27 7.578967497786221270e-13 5.122262594138093221e-13 5.489388029320961884e-03 3.213542485981737822e+07
3.588674152103385088e+18 5.511235792822299155e-27 7.578967496609942570e-13 5.182069478919558831e-13 5.489388028468992348e-03 3.213542486314238235e+07
3.630575054573011968e+18 5.511235791946834958e-27 7.578967495406017135e-13 5.242574661234830294e-13 5.489388027596998898e-03 3.213542486654554307e+07
3.672965186644783616e+18 5.511235791050794587e-27 7.578967494173796711e-13 5.303786294315566410e-13 5.489388026704510558e-03 3.213542487002868578e+07
3.715850260501273088e+18 5.511235790133694471e-27 7.578967492912613858e-13 5.365712626589605731e-13 5.489388025791045941e-03 3.213542487359369174e+07
3.759236055019740160e+18 5.511235789195040277e-27 7.578967491621791040e-13 5.428362002792285531e-13 5.489388024856112387e-03 3.213542487724249065e+07
3.803128416550879232e+18 5.511235788234324041e-27 7.578967490300629516e-13 5.491742865090960122e-13 5.489388023899205091e-03 3.213542488097704202e+07
3.847533259706630144e+18 5.511235787251029187e-27 7.578967488948416406e-13 5.555863754222600376e-13 5.489388022919807972e-03 3.213542488479936868e+07
3.892456568157224448e+18 5.511235786244623356e-27 7.578967487564423688e-13 5.620733310644728919e-13 5.489388021917391940e-03 3.213542488871153444e+07
3.937904395437364736e+18 5.511235785214565580e-27 7.578967486147904152e-13 5.686360275699550616e-13 5.489388020891417495e-03 3.213542489271563292e+07
3.983882865762152448e+18 5.511235784160298389e-27 7.578967484698090394e-13 5.752753492792154836e-13 5.489388019841329527e-03 3.213542489681385085e+07
4.030398174852212736e+18 5.511235783081254268e-27 7.578967483214206933e-13 5.819921908581990768e-13 5.489388018766563383e-03 3.213542490100837871e+07
4.077456590768615424e+18 5.511235781976849918e-27 7.578967481695445975e-13 5.887874574188504364e-13 5.489388017666537063e-03 3.213542490530148521e+07
4.125064454757547008e+18 5.511235780846491279e-27 7.578967480140993668e-13 5.956620646410832918e-13 5.489388016540659027e-03 3.213542490969548747e+07
4.173228182104676864e+18 5.511235779689567070e-27 7.578967478550008897e-13 6.026169388961540102e-13 5.489388015388321253e-03 3.213542491419275478e+07
4.221954262999832064e+18 5.511235778505453814e-27 7.578967476921634391e-13 6.096530173715177043e-13 5.489388014208901843e-03 3.213542491879571229e+07
4.271249263411437568e+18 5.511235777293511533e-27 7.578967475254990665e-13 6.167712481970994935e-13 5.489388013001764155e-03 3.213542492350684479e+07
4.321119825971330048e+18 5.511235776053087334e-27 7.578967473549179048e-13 6.239725905730615969e-13 5.489388011766257666e-03 3.213542492832870409e+07
4.371572670869868544e+18 5.511235774783512540e-27 7.578967471803277646e-13 6.312580148990563623e-13 5.489388010501715376e-03 3.213542493326387182e+07
4.422614596761536512e+18 5.511235773484101254e-27 7.578967470016348409e-13 6.386285029049970386e-13 5.489388009207455538e-03 3.213542493831501901e+07
4.474252481680932352e+18 5.511235772154153948e-27 7.578967468187422994e-13 6.460850477833257936e-13 5.489388007882779925e-03 3.213542494348488003e+07
4.526493283969817600e+18 5.511235770792951722e-27 7.578967466315518922e-13 6.536286543228813645e-13 5.489388006526973833e-03 3.213542494877622649e+07
4.579344043214631424e+18 5.511235769399760610e-27 7.578967464399624433e-13 6.612603390442731432e-13 5.489388005139306075e-03 3.213542495419192687e+07
4.632811881195129856e+18 5.511235767973829426e-27 7.578967462438705549e-13 6.689811303368676172e-13 5.489388003719027249e-03 3.213542495973489061e+07
4.686904002844098560e+18 5.511235766514389048e-27 7.578967460431704061e-13 6.767920685973707071e-13 5.489388002265372345e-03 3.213542496540812030e+07
4.741627697218086912e+18 5.511235765020650982e-27 7.578967458377540557e-13 6.846942063700014587e-13 5.489388000777556398e-03 3.213542497121466696e+07
4.796990338479853568e+18 5.511235763491811668e-27 7.578967456275103308e-13 6.926886084883554360e-13 5.489387999254777099e-03 3.213542497715766728e+07
4.852999386891907072e+18 5.511235761927043868e-27 7.578967454123258376e-13 7.007763522188765331e-13 5.489387997696213058e-03 3.213542498324032873e+07
4.909662389821830144e+18 5.511235760325505279e-27 7.578967451920846576e-13 7.089585274060216179e-13 5.489387996101022932e-03 3.213542498946593329e+07
4.966986982759348224e+18 5.511235758686331356e-27 7.578967449666679442e-13 7.172362366191272982e-13 5.489387994468347166e-03 3.213542499583783001e+07
5.024980890345071616e+18 5.511235757008638899e-27 7.578967447359542255e-13 7.256105953009604319e-13 5.489387992797305389e-03 3.213542500235946104e+07
5.083651927411652608e+18 5.511235755291521033e-27 7.578967444998188993e-13 7.340827319180611325e-13 5.489387991086994677e-03 3.213542500903434306e+07
5.143008000036692992e+18 5.511235753534053664e-27 7.578967442581345362e-13 7.426537881127813314e-13 5.489387989336493891e-03 3.213542501586608216e+07
5.203057106608151552e+18 5.511235751735287585e-27 7.578967440107709804e-13 7.513249188571326984e-13 5.489387987544858474e-03 3.213542502285835519e+07
5.263807338902146048e+18 5.511235749894252784e-27 7.578967437575946430e-13 7.600972926084175638e-13 5.489387985711122186e-03 3.213542503001494333e+07
5.325266883173383168e+18 5.511235748009956289e-27 7.578967434984691080e-13 7.689720914666898969e-13 5.489387983834295368e-03 3.213542503733969480e+07
5.387444021258110976e+18 5.511235746081381454e-27 7.578967432332544251e-13 7.779505113340209963e-13 5.489387981913365806e-03 3.213542504483657330e+07
5.450347131690369024e+18 5.511235744107487236e-27 7.578967429618075138e-13 7.870337620756842962e-13 5.489387979947297005e-03 3.213542505250960961e+07
5.513984690830853120e+18 5.511235742087211788e-27 7.578967426839823655e-13 7.962230676831658864e-13 5.489387977935029916e-03 3.213542506036295369e+07
5.578365274009166848e+18 5.511235740019462411e-27 7.578967423996286296e-13 8.055196664391039429e-13 5.489387975875477735e-03 3.213542506840083376e+07
5.643497556679414784e+18 5.511235737903124881e-27 7.578967421085931282e-13 8.149248110841563615e-13 5.489387973767530238e-03 3.213542507662758976e+07
5.709390315589062656e+18 5.511235735737059148e-27 7.578967418107190485e-13 8.244397689857849828e-13 5.489387971610051181e-03 3.213542508504765853e+07
5.776052429961900032e+18 5.511235733520095743e-27 7.578967415058455384e-13 8.340658223090746492e-13 5.489387969401875698e-03 3.213542509366558120e+07
5.843492882694354944e+18 5.511235731251037218e-27 7.578967411938082121e-13 8.438042681894807677e-13 5.489387967141812902e-03 3.213542510248600319e+07
5.911720761566013440e+18 5.511235728928662449e-27 7.578967408744386446e-13 8.536564189076289716e-13 5.489387964828644148e-03 3.213542511151368171e+07
5.980745260464217088e+18 5.511235726551718740e-27 7.578967405475649777e-13 8.636236020661457772e-13 5.489387962461123038e-03 3.213542512075348943e+07
6.050575680623013888e+18 5.511235724118921830e-27 7.578967402130104057e-13 8.737071607685632505e-13 5.489387960037970214e-03 3.213542513021040708e+07
6.121221431876329472e+18 5.511235721628960912e-27 7.578967398705947906e-13 8.839084538002767818e-13 5.489387957557880296e-03 3.213542513988953456e+07
6.192692033926261760e+18 5.511235719080493607e-27 7.578967395201335516e-13 8.942288558116868319e-13 5.489387955019515812e-03 3.213542514979609102e+07
6.264997117625686016e+18 5.511235716472145255e-27 7.578967391614373620e-13 9.046697575034062057e-13 5.489387952421507198e-03 3.213542515993542969e+07
6.338146426276090880e+18 5.511235713802508188e-27 7.578967387943130583e-13 9.152325658136675542e-13 5.489387949762453665e-03 3.213542517031300440e+07
6.412149816940565504e+18 5.511235711070143890e-27 7.578967384185624280e-13 9.259187041079188858e-13 5.489387947040920597e-03 3.213542518093441799e+07
6.487017261771853824e+18 5.511235708273577253e-27 7.578967380339829170e-13 9.367296123705926485e-13 5.489387944255440417e-03 3.213542519180541113e+07
6.562758849356445696e+18 5.511235705411301601e-27 7.578967376403671242e-13 9.476667473991933814e-13 5.489387941404511723e-03 3.213542520293182135e+07
6.639384786073824256e+18 5.511235702481771515e-27 7.578967372375025999e-13 9.587315830005728713e-13 5.489387938486594946e-03 3.213542521431967616e+07
6.716905397471865856e+18 5.511235699483409290e-27 7.578967368251722496e-13 9.699256101895358946e-13 5.489387935500118429e-03 3.213542522597509250e+07
6.795331129658228736e+18 5.511235696414595607e-27 7.578967364031537282e-13 9.812503373897570567e-13 5.489387932443470612e-03 3.213542523790437728e+07
6.874672550708045824e+18 5.511235693273677428e-27 7.578967359712194398e-13 9.927072906370509360e-13 5.489387929315003509e-03 3.213542525011394545e+07
6.954940352087783424e+18 5.511235690058959383e-27 7.578967355291363359e-13 1.004298013784977963e-12 5.489387926113029233e-03 3.213542526261039823e+07
7.036145350096279552e+18 5.511235686768708795e-27 7.578967350766660165e-13 1.016024068712926993e-12 5.489387922835821734e-03 3.213542527540046349e+07
7.118298487322041344e+18 5.511235683401150656e-27 7.578967346135646288e-13 1.027887035536549372e-12 5.489387919481613330e-03 3.213542528849104792e+07
7.201410834117847040e+18 5.511235679954468345e-27 7.578967341395820599e-13 1.039888512820692304e-12 5.489387916048594704e-03 3.213542530188919976e+07
7.285493590092565504e+18 5.511235676426804346e-27 7.578967336544631479e-13 1.052030117794815186e-12 5.489387912534914905e-03 3.213542531560215726e+07
7.370558085620089856e+18 5.511235672816255224e-27 7.578967331579458647e-13 1.064313486570878797e-12 5.489387908938678749e-03 3.213542532963730767e+07
7.456615783366501376e+18 5.511235669120874497e-27 7.578967326497628308e-13 1.076740274363865465e-12 5.489387905257947682e-03 3.213542534400222078e+07
7.543678279834443776e+18 5.511235665338669048e-27 7.578967321296395982e-13 1.089312155714790478e-12 5.489387901490735445e-03 3.213542535870464519e+07
7.631757306925853696e+18 5.511235661467599125e-27 7.578967315972959635e-13 1.102030824716353964e-12 5.489387897635011546e-03 3.213542537375250459e+07
7.720864733522863104e+18 5.511235657505577622e-27 7.578967310524448572e-13 1.114897995241224768e-12 5.489387893688696049e-03 3.213542538915392384e+07
7.811012567087218688e+18 5.511235653450467213e-27 7.578967304947923433e-13 1.127915401172993883e-12 5.489387889649661317e-03 3.213542540491719916e+07
7.902212955278074880e+18 5.511235649300082498e-27 7.578967299240377206e-13 1.141084796639785521e-12 5.489387885515729405e-03 3.213542542105083168e+07
7.994478187589297152e+18 5.511235645052182836e-27 7.578967293398730179e-13 1.154407956250678503e-12 5.489387881284669458e-03 3.213542543756353483e+07
8.087820697005249536e+18 5.511235640704480230e-27 7.578967287419834986e-13 1.167886675334804063e-12 5.489387876954202050e-03 3.213542545446418971e+07
8.182253061676246016e+18 5.511235636254628572e-27 7.578967281300467521e-13 1.181522770183275579e-12 5.489387872521990508e-03 3.213542547176192701e+07
8.277788006613544960e+18 5.511235631700228659e-27 7.578967275037325928e-13 1.195318078293949218e-12 5.489387867985645250e-03 3.213542548946607113e+07
8.374438405403812864e+18 5.511235627038824608e-27 7.578967268627033629e-13 1.209274458618985804e-12 5.489387863342720317e-03 3.213542550758617744e+07
8.472217281944276992e+18 5.511235622267901706e-27 7.578967262066133269e-13 1.223393791815410006e-12 5.489387858590710767e-03 3.213542552613200247e+07
8.571137812197466112e+18 5.511235617384889276e-27 7.578967255351088730e-13 1.237677980498488116e-12 5.489387853727055282e-03 3.213542554511354864e+07
8.671213325966767104e+18 5.511235612387152788e-27 7.578967248478278069e-13 1.252128949498121327e-12 5.489387848749130959e-03 3.213542556454106048e+07
8.772457308692658176e+18 5.511235607271997443e-27 7.578967241443994522e-13 1.266748646118214513e-12 5.489387843654253314e-03 3.213542558442500606e+07
8.874883403269970944e+18 5.511235602036664589e-27 7.578967234244444490e-13 1.281539040399092816e-12 5.489387838439674545e-03 3.213542560477612540e+07
8.978505411886022656e+18 5.511235596678331720e-27 7.578967226875746523e-13 1.296502125382921407e-12 5.489387833102583533e-03 3.213542562560536340e+07
9.083337297880934400e+18 5.511235591194110322e-27 7.578967219333928298e-13 1.311639917382334008e-12 5.489387827640102371e-03 3.213542564692397043e+07
9.189393187628931072e+18 5.511235585581040854e-27 7.578967211614921564e-13 1.326954456252091441e-12 5.489387822049284632e-03 3.213542566874344274e+07
