# z rho(z) P(z) g(z) n(z) K(z)
3.122031743072969216e+18 1.150804996563411981e-26 4.747708495025540445e-11 1.352470377494206270e-11 1.146242949623908769e-02 5.901152026021723747e+08
3.158484188190287872e+18 1.150804996425086630e-26 4.747708494454871772e-11 1.368261649198338688e-11 1.146242949486131826e-02 5.901152026494598389e+08
3.195362247415489536e+18 1.150804996283512168e-26 4.747708493870798895e-11 1.384237297772494601e-11 1.146242949345118584e-02 5.901152026978578568e+08
3.232670890164654592e+18 1.150804996138612544e-26 4.747708493273007098e-11 1.400399475977234639e-11 1.146242949200793407e-02 5.901152027473927736e+08
3.270415143876211200e+18 1.150804995990309554e-26 4.747708492661175204e-11 1.416750361708501774e-11 1.146242949053078233e-02 5.901152027980911732e+08
3.308600094688291328e+18 1.150804995838522985e-26 4.747708492034971045e-11 1.433292158291053134e-11 1.146242948901893439e-02 5.901152028499803543e+08
3.347230888124128256e+18 1.150804995683171333e-26 4.747708491394059875e-11 1.450027094775372452e-11 1.146242948747157667e-02 5.901152029030882120e+08
3.386312729785430528e+18 1.150804995524170655e-26 4.747708490738094017e-11 1.466957426238048099e-11 1.146242948588787301e-02 5.901152029574437141e+08
3.425850886053876224e+18 1.150804995361435573e-26 4.747708490066721274e-11 1.484085434085651131e-11 1.146242948426697342e-02 5.901152030130758286e+08
3.465850684800661504e+18 1.150804995194877982e-26 4.747708489379579108e-11 1.501413426362118516e-11 1.146242948260800011e-02 5.901152030700145960e+08
3.506317516104612864e+18 1.150804995024408343e-26 4.747708488676297226e-11 1.518943738059840408e-11 1.146242948091006145e-02 5.901152031282907724e+08
3.547256832978402816e+18 1.150804994849934819e-26 4.747708487956496935e-11 1.536678731434254387e-11 1.146242947917224149e-02 5.901152031879355907e+08
3.588674152103385088e+18 1.150804994671362992e-26 4.747708487219789849e-11 1.554620796322179454e-11 1.146242947739360349e-02 5.901152032489814758e+08
3.630575054573011968e+18 1.150804994488597010e-26 4.747708486465777885e-11 1.572772350463865556e-11 1.146242947557318814e-02 5.901152033114613295e+08
3.672965186644783616e+18 1.150804994301538149e-26 4.747708485694057147e-11 1.591135839828735369e-11 1.146242947371001533e-02 5.901152033754085302e+08
3.715850260501273088e+18 1.150804994110085677e-26 4.747708484904209522e-11 1.609713738945065215e-11 1.146242947180308065e-02 5.901152034408577681e+08
3.759236055019740160e+18 1.150804993914136279e-26 4.747708484095809787e-11 1.628508551233379230e-11 1.146242946985135368e-02 5.901152035078444481e+08
3.803128416550879232e+18 1.150804993713584487e-26 4.747708483268422379e-11 1.647522809343807877e-11 1.146242946785378664e-02 5.901152035764043331e+08
3.847533259706630144e+18 1.150804993508321965e-26 4.747708482421600751e-11 1.666759075497364244e-11 1.146242946580929879e-02 5.901152036465746164e+08
3.892456568157224448e+18 1.150804993298238367e-26 4.747708481554889306e-11 1.686219941831225712e-11 1.146242946371679033e-02 5.901152037183930874e+08
3.937904395437364736e+18 1.150804993083220332e-26 4.747708480667820171e-11 1.705908030747973487e-11 1.146242946157513369e-02 5.901152037918983698e+08
3.983882865762152448e+18 1.150804992863151919e-26 4.747708479759916424e-11 1.725825995269054306e-11 1.146242945938317354e-02 5.901152038671302795e+08
4.030398174852212736e+18 1.150804992637914316e-26 4.747708478830686281e-11 1.745976519392221339e-11 1.146242945713972679e-02 5.901152039441291094e+08
4.077456590768615424e+18 1.150804992407386558e-26 4.747708477879631494e-11 1.766362318453224402e-11 1.146242945484358781e-02 5.901152040229365826e+08
